academic_year,pupil_name,parental_contact,parental_contact_email
4,"Skerme, Fredric","Skerme, Katinka",Skerme.Katinka@Edgeblab.com
4,"Udall, Christoph","Udall, Lanna",Udall.Lanna@Divavu.com
4,"Koba, Jared","Koba, Abbie",Koba.Abbie@Yakitri.com
2,"Gouley, Lucina","Gouley, Neall",Gouley.Neall@Browsecat.com
4,"Fosbraey, Milka","Fosbraey, Tildie",Fosbraey.Tildie@Livetube.com
3,"Aldwinckle, Iseabal","Aldwinckle, Averill",Aldwinckle.Averill@Trunyx.com
4,"Featherstonehaugh, Colet","Featherstonehaugh, Carmina",Featherstonehaugh.Carmina@Pixoboo.com
1,"Skaif, Jewelle","Skaif, Claus",Skaif.Claus@Zoozzy.com
3,"Plumridge, Brose","Plumridge, Tudor",Plumridge.Tudor@Eare.com
2,"Oldknow, Dotty","Oldknow, Valentina",Oldknow.Valentina@Janyx.com
2,"Conneely, Stacy","Conneely, Emmalee",Conneely.Emmalee@Kayveo.com
2,"Ballister, Iona","Ballister, Sutton",Ballister.Sutton@Zoombeat.com
2,"Curgenuer, Windy","Curgenuer, Jaquelin",Curgenuer.Jaquelin@Minyx.com
1,"Echalie, Kienan","Echalie, Leonard",Echalie.Leonard@Digitube.com
2,"Curley, Nollie","Curley, Phyllida",Curley.Phyllida@Thoughtsphere.com
4,"McGrory, Joelle","McGrory, Annissa",McGrory.Annissa@Eabox.com
4,"Schmidt, Pooh","Schmidt, Prue",Schmidt.Prue@BlogXS.com
4,"Phelipeaux, Coral","Phelipeaux, Evangelina",Phelipeaux.Evangelina@Livepath.com
1,"McKeachie, Gifford","McKeachie, Elbertine",McKeachie.Elbertine@Eimbee.com
2,"Videan, Orelee","Videan, Sterne",Videan.Sterne@Fadeo.com
2,"Scamerden, Toiboid","Scamerden, Esma",Scamerden.Esma@Jabbersphere.com
3,"Longstaff, Shirline","Longstaff, Clifford",Longstaff.Clifford@Youbridge.com
2,"D'Alessandro, Hurley","D'Alessandro, Sofia",D'Alessandro.Sofia@Miboo.com
1,"Di Domenico, Orelia","Di Domenico, Humfrid",Di Domenico.Humfrid@Zooxo.com
3,"O'Corrin, Glynda","O'Corrin, Thorn",O'Corrin.Thorn@Quimm.com
2,"Caraher, Bailie","Caraher, Yolanthe",Caraher.Yolanthe@Kimia.com
3,"Pattenden, Elizabeth","Pattenden, Jeff",Pattenden.Jeff@BlogXS.com
2,"Lardnar, Florian","Lardnar, Boycey",Lardnar.Boycey@Snaptags.com
3,"Caherny, Chantal","Caherny, Morena",Caherny.Morena@Demizz.com
4,"McMenamin, Sasha","McMenamin, Gaultiero",McMenamin.Gaultiero@Agimba.com
4,"Verbeek, Ivar","Verbeek, Kienan",Verbeek.Kienan@Devpulse.com
3,"Challicombe, Jamaal","Challicombe, Bettine",Challicombe.Bettine@Yodoo.com
3,"Milnes, Cello","Milnes, Irving",Milnes.Irving@Photobean.com
3,"Leinster, Leese","Leinster, Nonnah",Leinster.Nonnah@Avaveo.com
1,"Bernardet, Aleece","Bernardet, Milicent",Bernardet.Milicent@Thoughtbridge.com
4,"Penwell, Archibaldo","Penwell, Marjy",Penwell.Marjy@Twitterbeat.com
1,"Dodding, Berkly","Dodding, Vincenz",Dodding.Vincenz@Realpoint.com
1,"Stive, Ynez","Stive, Alane",Stive.Alane@Livetube.com
3,"Ebbin, Francene","Ebbin, Wilburt",Ebbin.Wilburt@JumpXS.com
4,"Bowring, Ilise","Bowring, Hatty",Bowring.Hatty@Ozu.com
2,"Knoton, Clo","Knoton, Demetris",Knoton.Demetris@Skimia.com
2,"Valti, Guthrie","Valti, Frankie",Valti.Frankie@Chatterbridge.com
3,"Whartonby, Stacey","Whartonby, Bailey",Whartonby.Bailey@Fatz.com
1,"Siggers, Ernesta","Siggers, Anet",Siggers.Anet@Thoughtsphere.com
3,"Espinet, Denice","Espinet, Clementius",Espinet.Clementius@Myworks.com
4,"Luesley, Antin","Luesley, Elspeth",Luesley.Elspeth@Ozu.com
4,"Brash, Alon","Brash, Katya",Brash.Katya@Youspan.com
2,"Penke, Harlen","Penke, Janaya",Penke.Janaya@Flipopia.com
4,"Anten, Pyotr","Anten, Madelene",Anten.Madelene@Jaxbean.com
4,"Skelton, Sean","Skelton, Bridie",Skelton.Bridie@Quatz.com
3,"Johanssen, Cary","Johanssen, Elonore",Johanssen.Elonore@Tagopia.com
2,"Keywood, Yuri","Keywood, Kandace",Keywood.Kandace@Photojam.com
1,"Narducci, Ronnie","Narducci, Thibaud",Narducci.Thibaud@Eadel.com
3,"Longmore, Chucho","Longmore, Kristen",Longmore.Kristen@Photobean.com
2,"Kupka, Caleb","Kupka, Mandi",Kupka.Mandi@Yadel.com
1,"Harmant, Robbin","Harmant, Ana",Harmant.Ana@Meedoo.com
2,"Shotboult, Gaylor","Shotboult, Shauna",Shotboult.Shauna@Eadel.com
4,"Tolefree, Lamont","Tolefree, Tim",Tolefree.Tim@Quire.com
4,"Upjohn, Wood","Upjohn, Marlo",Upjohn.Marlo@Edgeblab.com
4,"Seeds, Brady","Seeds, Lita",Seeds.Lita@Fivebridge.com
2,"Litherborough, Selma","Litherborough, Kaile",Litherborough.Kaile@Katz.com
2,"Peasee, Carly","Peasee, Teddi",Peasee.Teddi@Tambee.com
2,"Artinstall, Rose","Artinstall, Lian",Artinstall.Lian@LiveZ.com
3,"Oleksiak, Hi","Oleksiak, Faina",Oleksiak.Faina@Meetz.com
2,"Smardon, Berti","Smardon, Katinka",Smardon.Katinka@Bubbletube.com
3,"Halbard, Lorraine","Halbard, Rhianon",Halbard.Rhianon@Skynoodle.com
3,"Sherewood, Aldis","Sherewood, Carma",Sherewood.Carma@Brainbox.com
3,"McGourty, Rabbi","McGourty, Belia",McGourty.Belia@Aimbo.com
2,"Layson, Julietta","Layson, Sadella",Layson.Sadella@Browsecat.com
1,"Ditch, Graehme","Ditch, Ynes",Ditch.Ynes@Skivee.com
4,"Zanussii, Benetta","Zanussii, Ephraim",Zanussii.Ephraim@Oodoo.com
2,"Seelbach, Pandora","Seelbach, Baldwin",Seelbach.Baldwin@Cogilith.com
2,"Crotty, Hatty","Crotty, Caspar",Crotty.Caspar@Realfire.com
1,"Pogue, Tessa","Pogue, Moe",Pogue.Moe@Mydeo.com
2,"Doogan, Grantley","Doogan, Garrett",Doogan.Garrett@Pixoboo.com
1,"Lanning, Sunny","Lanning, Lorin",Lanning.Lorin@Tagpad.com
3,"Applegarth, L;urette","Applegarth, Bonny",Applegarth.Bonny@Edgeblab.com
1,"Oscroft, Wendy","Oscroft, Tore",Oscroft.Tore@Meemm.com
1,"Baldack, Ev","Baldack, Emilio",Baldack.Emilio@Tekfly.com
4,"Pesek, Jania","Pesek, Malorie",Pesek.Malorie@Quinu.com
3,"Shenton, Kelley","Shenton, Caron",Shenton.Caron@Eamia.com
1,"Sekulla, Doralynne","Sekulla, Bertine",Sekulla.Bertine@Mydo.com
3,"Harrald, Price","Harrald, Nanci",Harrald.Nanci@Chatterpoint.com
1,"Welburn, Allen","Welburn, Gwyn",Welburn.Gwyn@Jabberstorm.com
1,"Doag, Merwin","Doag, Sophronia",Doag.Sophronia@Skiba.com
3,"Symonds, Jeannette","Symonds, Rheba",Symonds.Rheba@Vipe.com
4,"Heckner, Valaree","Heckner, Gabie",Heckner.Gabie@Jaxbean.com
2,"Palmar, Gussie","Palmar, Sasha",Palmar.Sasha@Devcast.com
2,"Beggan, Yehudi","Beggan, Shawnee",Beggan.Shawnee@Topicstorm.com
1,"Tuson, Drusilla","Tuson, Flossy",Tuson.Flossy@Browseblab.com
2,"Dowtry, Alanah","Dowtry, Erena",Dowtry.Erena@Topicblab.com
1,"Cobleigh, Kathlin","Cobleigh, Julita",Cobleigh.Julita@Agivu.com
2,"Curston, Layne","Curston, Lion",Curston.Lion@Mybuzz.com
1,"Shropshire, Idell","Shropshire, Tandi",Shropshire.Tandi@Edgeclub.com
2,"Whelan, Kimbra","Whelan, Humbert",Whelan.Humbert@Thoughtbeat.com
3,"Godsell, Nadean","Godsell, Audi",Godsell.Audi@Tavu.com
3,"Liger, Katinka","Liger, Gavan",Liger.Gavan@Katz.com
3,"Kettles, Fallon","Kettles, Isador",Kettles.Isador@Avavee.com
1,"Powland, Tally","Powland, Humberto",Powland.Humberto@Blognation.com
1,"Jerosch, Nolan","Jerosch, Hedy",Jerosch.Hedy@Quatz.com
4,"Yukhnini, Viva","Yukhnini, Robbie",Yukhnini.Robbie@Digitube.com
2,"Jurewicz, Nevile","Jurewicz, Sarge",Jurewicz.Sarge@Lazz.com
2,"Kaes, Brand","Kaes, Chane",Kaes.Chane@Feedfire.com
4,"De la Yglesia, Celine","De la Yglesia, Margalit",De la Yglesia.Margalit@Voomm.com
3,"Snary, Adrian","Snary, Kenton",Snary.Kenton@Fivebridge.com
1,"Casterot, Anny","Casterot, Fionnula",Casterot.Fionnula@Zava.com
4,"Cosins, Jacques","Cosins, Hale",Cosins.Hale@Kimia.com
2,"Greenhalf, Lauretta","Greenhalf, Maible",Greenhalf.Maible@Voomm.com
3,"Condie, Ettie","Condie, Elenore",Condie.Elenore@Kwilith.com
4,"Fellows, Tailor","Fellows, Nelie",Fellows.Nelie@Livetube.com
2,"Szimon, Iago","Szimon, Katherine",Szimon.Katherine@Rhyloo.com
2,"Kittow, Howard","Kittow, Rafe",Kittow.Rafe@Buzzster.com
3,"Okenden, Smith","Okenden, Tallie",Okenden.Tallie@Mymm.com
2,"Kibby, West","Kibby, Peggi",Kibby.Peggi@Vinder.com
2,"Randalston, Perren","Randalston, Wilton",Randalston.Wilton@Quamba.com
2,"Chiese, Garnette","Chiese, Glenden",Chiese.Glenden@Aibox.com
4,"Huntingdon, Mace","Huntingdon, Jamison",Huntingdon.Jamison@Oodoo.com
1,"Parysowna, Konstantine","Parysowna, Nevins",Parysowna.Nevins@Photobug.com
4,"Oseman, Cristina","Oseman, Dara",Oseman.Dara@Fivespan.com
3,"McClements, Finley","McClements, Bryna",McClements.Bryna@Voolith.com
1,"Barends, Vic","Barends, Teodor",Barends.Teodor@Gigashots.com
4,"Coyle, Bartholomew","Coyle, Brooke",Coyle.Brooke@Twimm.com
4,"Dunlea, Krystal","Dunlea, Lexine",Dunlea.Lexine@Rhynoodle.com
2,"Lundy, Mireielle","Lundy, Madge",Lundy.Madge@Twinte.com
4,"Almond, Sharla","Almond, Dita",Almond.Dita@Flashspan.com
4,"Templeton, Sibeal","Templeton, Quintus",Templeton.Quintus@Mybuzz.com
4,"Clayworth, Pearce","Clayworth, Anitra",Clayworth.Anitra@Divavu.com
3,"Greder, Sheelah","Greder, Katya",Greder.Katya@Feedfish.com
1,"Wybrow, Joly","Wybrow, Benoit",Wybrow.Benoit@Talane.com
4,"Antonazzi, Bondon","Antonazzi, Vite",Antonazzi.Vite@Rhynoodle.com
4,"Biglin, Gwen","Biglin, Winifred",Biglin.Winifred@Eidel.com
1,"Blowen, Kip","Blowen, Heindrick",Blowen.Heindrick@Twiyo.com
3,"Orrocks, Moises","Orrocks, Gregorius",Orrocks.Gregorius@Pixoboo.com
3,"Shoveller, Norbie","Shoveller, Raine",Shoveller.Raine@Jabberstorm.com
2,"Piperley, Matty","Piperley, Hans",Piperley.Hans@Ooba.com
1,"Scamadine, Wileen","Scamadine, Giselbert",Scamadine.Giselbert@Eidel.com
4,"Batiste, Armstrong","Batiste, Reuben",Batiste.Reuben@JumpXS.com
3,"Blanning, Daisey","Blanning, Danit",Blanning.Danit@Centimia.com
1,"Ouchterlony, Jammal","Ouchterlony, Ellette",Ouchterlony.Ellette@Oozz.com
1,"Whittier, Cynthea","Whittier, Pansy",Whittier.Pansy@Vitz.com
1,"Reynard, Templeton","Reynard, Randie",Reynard.Randie@Meezzy.com
1,"Sarre, Baron","Sarre, Harland",Sarre.Harland@Skaboo.com
1,"Adds, Rex","Adds, Hetti",Adds.Hetti@Quimm.com
4,"Pollie, Oberon","Pollie, Wileen",Pollie.Wileen@Edgetag.com
1,"Messitt, Dorita","Messitt, Early",Messitt.Early@Bluejam.com
4,"Kitlee, Floria","Kitlee, Billi",Kitlee.Billi@Ntags.com
4,"Bartles, James","Bartles, Della",Bartles.Della@Quaxo.com
3,"Yashaev, Jay","Yashaev, Moise",Yashaev.Moise@Devpoint.com
2,"Sanderson, Leshia","Sanderson, Denice",Sanderson.Denice@Mycat.com
1,"Glanz, Tiffy","Glanz, Kirbie",Glanz.Kirbie@Photofeed.com
1,"Dod, Kizzie","Dod, Lucien",Dod.Lucien@Izio.com
2,"Lethardy, Madlen","Lethardy, Lennie",Lethardy.Lennie@Tambee.com
2,"Brende, Estella","Brende, Frankie",Brende.Frankie@Wordware.com
3,"Barstock, Grover","Barstock, Lucie",Barstock.Lucie@Skyba.com
4,"Marquiss, Amalee","Marquiss, Keary",Marquiss.Keary@Youbridge.com
4,"Blyth, Megan","Blyth, Marcus",Blyth.Marcus@Shuffledrive.com
2,"Fibbit, Willette","Fibbit, Frank",Fibbit.Frank@Fanoodle.com
1,"Dymond, Calida","Dymond, Daisy",Dymond.Daisy@Jaxworks.com
3,"Ricardin, Aharon","Ricardin, Audre",Ricardin.Audre@Photobug.com
2,"Petyanin, Maurits","Petyanin, Jocelyn",Petyanin.Jocelyn@Buzzster.com
3,"Polglaze, Ermanno","Polglaze, Giovanni",Polglaze.Giovanni@Jayo.com
4,"Borrel, Ancell","Borrel, Letty",Borrel.Letty@Oozz.com
2,"Latchford, Keven","Latchford, Worthington",Latchford.Worthington@Jayo.com
4,"Hammill, Rona","Hammill, Budd",Hammill.Budd@Photobug.com
2,"Sirett, Evita","Sirett, Wynne",Sirett.Wynne@Skilith.com
1,"Sarle, Lorry","Sarle, Halsy",Sarle.Halsy@Aimbo.com
2,"Fannon, Kate","Fannon, Beitris",Fannon.Beitris@Twimm.com
1,"Vale, Paulina","Vale, Corrianne",Vale.Corrianne@Edgewire.com
2,"Kelleway, Earl","Kelleway, Valery",Kelleway.Valery@Dabfeed.com
2,"Daburn, Culver","Daburn, Robinett",Daburn.Robinett@Plajo.com
1,"Worcester, Antonie","Worcester, Evvie",Worcester.Evvie@Flashset.com
4,"Cullrford, Magda","Cullrford, Ethan",Cullrford.Ethan@Agimba.com
4,"Diack, Jeremiah","Diack, Martino",Diack.Martino@Twinte.com
4,"Dibdin, Lynett","Dibdin, Dael",Dibdin.Dael@Brightbean.com
4,"Neenan, Trace","Neenan, Packston",Neenan.Packston@Oba.com
1,"Gowans, Miran","Gowans, Kimberli",Gowans.Kimberli@Jabbersphere.com
1,"Orrey, Orsa","Orrey, Harv",Orrey.Harv@Yamia.com
2,"Bermingham, Gillie","Bermingham, Ellery",Bermingham.Ellery@Tagtune.com
3,"Madgwick, Mikaela","Madgwick, Nichol",Madgwick.Nichol@Devcast.com
3,"Greenin, Maximo","Greenin, Wallas",Greenin.Wallas@Voomm.com
3,"Fellis, Daron","Fellis, Imojean",Fellis.Imojean@Gabvine.com
2,"Haselwood, Dorothea","Haselwood, Lilah",Haselwood.Lilah@Topiczoom.com
2,"Howgego, Pernell","Howgego, Birch",Howgego.Birch@Feedfish.com
3,"Bebbell, Jaimie","Bebbell, Elvyn",Bebbell.Elvyn@Jaloo.com
3,"Dohms, Rici","Dohms, Clark",Dohms.Clark@Browseblab.com
4,"Braffington, Oralla","Braffington, Sherry",Braffington.Sherry@Ntags.com
1,"Whiteley, Elisa","Whiteley, Willy",Whiteley.Willy@Kazio.com
1,"Kynson, Emalia","Kynson, Kip",Kynson.Kip@Agimba.com
4,"Standbrook, Kakalina","Standbrook, Wright",Standbrook.Wright@Yabox.com
2,"Dionis, Billy","Dionis, Brier",Dionis.Brier@Youspan.com
2,"Fishbourn, Kit","Fishbourn, Sydney",Fishbourn.Sydney@Gabtune.com
2,"Romain, Sayer","Romain, Archibold",Romain.Archibold@Jaxworks.com
4,"Dymott, Welby","Dymott, Maryjane",Dymott.Maryjane@Linktype.com
3,"Brozsset, Darci","Brozsset, Shay",Brozsset.Shay@Jayo.com
4,"Pierro, Emelyne","Pierro, Webb",Pierro.Webb@Flashdog.com
2,"Ninotti, Afton","Ninotti, Dulcie",Ninotti.Dulcie@Zooxo.com
1,"Duinbleton, Sofie","Duinbleton, Georgia",Duinbleton.Georgia@Zoomlounge.com
3,"Brittles, Franciskus","Brittles, Fulvia",Brittles.Fulvia@Yakitri.com
2,"Glandon, Darline","Glandon, Jany",Glandon.Jany@Topicblab.com
4,"Beringer, Adara","Beringer, Quint",Beringer.Quint@Eazzy.com
1,"Kennard, Maddie","Kennard, Roch",Kennard.Roch@Tagchat.com
1,"Rangall, Bobbe","Rangall, Thatcher",Rangall.Thatcher@Trunyx.com
3,"Darnborough, Osgood","Darnborough, Fiann",Darnborough.Fiann@Flipopia.com
4,"Shackle, Cory","Shackle, Camile",Shackle.Camile@Thoughtblab.com
4,"Bulluck, Denna","Bulluck, Brittney",Bulluck.Brittney@Photobean.com
3,"Slora, Jocelin","Slora, Sigismundo",Slora.Sigismundo@Yodel.com
3,"Cockman, Woodman","Cockman, Ninon",Cockman.Ninon@Twitterworks.com
4,"Jime, Wain","Jime, Cherida",Jime.Cherida@InnoZ.com
1,"Bradmore, Twila","Bradmore, Shandie",Bradmore.Shandie@Meeveo.com
3,"Lemery, Marcus","Lemery, Jami",Lemery.Jami@Skidoo.com
1,"Whayman, Alia","Whayman, Darius",Whayman.Darius@Realbridge.com
1,"Shipcott, Maximilien","Shipcott, Marillin",Shipcott.Marillin@JumpXS.com
1,"Exroll, Robina","Exroll, Jordain",Exroll.Jordain@Tagchat.com
4,"De Ferraris, Walt","De Ferraris, Abel",De Ferraris.Abel@Zoombeat.com
1,"Stiff, Alf","Stiff, Eimile",Stiff.Eimile@Mita.com
4,"Yateman, Vernon","Yateman, Rollin",Yateman.Rollin@Zoombox.com
1,"Kearton, Von","Kearton, Berget",Kearton.Berget@Devpoint.com
