Transaction Date,Transaction Number,Product Type,Product Scent,Product Size,Cash or Card,Loyalty Number,Customer Name,Loyalty Tier,Loyalty Discount,Quantity,Sales Before Discount,Sales After Discount,Profit
2023-01-03,30123032,Bar,Rose Garden,4x,Card,1007615,Sherill Pirouet,Silver,0.1,1.0,8.37,7.5329999999999995,1.95
2023-01-03,30123032,Liquid,Ocean Mist,0.25L,Card,1007615,Sherill Pirouet,Silver,0.1,4.0,6.2,5.58,2.42
2023-01-03,30123032,Liquid,Vanilla Bean,0.25L,Card,1007615,Sherill Pirouet,Silver,0.1,3.0,13.83,12.447000000000001,3.45
2023-01-03,30123033,Bar,Citrus Breeze,2x,Cash,1000908,Alfie Jankowski,Silver,0.1,1.0,2.02,1.818,0.4
2023-01-03,30123033,Liquid,Fresh Rain,0.5L,Cash,1000908,Alfie Jankowski,Silver,0.1,3.0,6.75,6.075,-0.65
2023-01-03,30123034,Liquid,Citrus Breeze,0.25L,Card,1003663,Ashlen Montilla,Bronze,0.05,2.0,2.92,2.774,0.97
2023-01-03,30123034,Liquid,Fresh Rain,0.25L,Card,1003663,Ashlen Montilla,Bronze,0.05,4.0,5.72,5.433999999999999,0.91
2023-01-03,30123035,Bar,Sandalwood Spice,1x,Cash,1007448,Erinn Boggish,Gold,0.15,2.0,7.5,6.375,2.3
2023-01-03,30123036,Bar,Fresh Rain,4x,Cash,1005457,Shayna Kleinhaut,Bronze,0.05,1.0,4.28,4.066,0.69
2023-01-03,30123036,Liquid,Rose Garden,1L,Cash,1005457,Shayna Kleinhaut,Bronze,0.05,3.0,35.55,33.772499999999994,11.72
2023-01-03,30123037,Bar,Lavender Fields,1x,Card,1006265,Maryl O'Riordan,Gold,0.15,5.0,8.85,7.522499999999999,1.27
2023-01-03,30123037,Bar,Ocean Mist,1x,Card,1006265,Maryl O'Riordan,Gold,0.15,3.0,3.6,3.06,1.08
2023-01-03,30123037,Liquid,Sandalwood Spice,1L,Card,1006265,Maryl O'Riordan,Gold,0.15,1.0,13.19,11.2115,1.54
2023-01-03,30123038,Bar,Lavender Fields,1x,Card,,,,,2.0,3.54,,
2023-01-03,30123039,Liquid,Lavender Fields,0.25L,Card,,,,,2.0,4.6,,
2023-01-03,30123039,Liquid,Rose Garden,1L,Card,,,,,5.0,59.25,,
2023-01-03,30123040,Bar,Cedarwood Forest,1x,Cash,1003741,Courtney Currom,Bronze,,4.0,8.72,,
2023-01-03,30123040,Liquid,Eucalyptus Mint,0.5L,Cash,1003741,Courtney Currom,Bronze,,3.0,26.64,,
2023-01-03,30123041,Bar,Rose Garden,2x,Cash,1008590,Dick Tincey,Silver,0.1,2.0,6.34,5.706,-0.19
2023-01-03,30123041,Liquid,Eucalyptus Mint,1L,Cash,1008590,Dick Tincey,Silver,0.1,2.0,26.54,23.886,5.97
2023-01-03,30123042,Liquid,Sandalwood Spice,0.25L,Card,,,,,5.0,21.25,,
2023-01-03,30123042,Liquid,Citrus Breeze,0.5L,Card,,,,,1.0,2.48,,
2023-01-03,30123042,Liquid,Lavender Fields,1L,Card,,,,,3.0,24.27,,
2023-01-03,30123043,Bar,Rose Garden,1x,Cash,1004640,Romain Macdougal,Bronze,0.05,2.0,4.9,4.655,1.56
2023-01-03,30123043,Liquid,Lavender Fields,0.25L,Cash,1004640,Romain Macdougal,Bronze,0.05,1.0,2.3,2.1849999999999996,0.68
2023-01-03,30123043,Liquid,Citrus Breeze,0.5L,Cash,1004640,Romain Macdougal,Bronze,0.05,2.0,4.96,4.712,1.13
2023-01-03,30123044,Bar,Vanilla Bean,4x,Card,,,,,3.0,53.22,,
2023-01-03,30123044,Liquid,Ocean Mist,1L,Card,,,,,4.0,18.36,,
2023-01-03,30123044,Liquid,Sandalwood Spice,1L,Card,,,,,1.0,13.19,,
2023-01-03,30123045,Bar,Eucalyptus Mint,2x,Cash,1002733,Binny Kingswood,Silver,0.1,4.0,24.92,22.428,8.07
2023-01-03,30123046,Bar,Citrus Breeze,4x,Cash,,,,,4.0,16.24,,
2023-01-03,30123046,Bar,Rose Garden,4x,Cash,,,,,3.0,25.11,,
2023-01-03,30123046,Liquid,Eucalyptus Mint,1L,Cash,,,,,5.0,66.35,,
2023-01-03,30123047,Bar,Lavender Fields,2x,Card,1003460,Christiana Albrook,Silver,0.1,3.0,7.23,6.507000000000001,-0.63
2023-01-03,30123047,Bar,Rose Garden,2x,Card,1003460,Christiana Albrook,Silver,0.1,4.0,12.68,11.412,-0.39
2023-01-03,30123048,Liquid,Coconut Dream,0.5L,Card,,,,,3.0,12.36,,
2023-01-03,30123048,Liquid,Coconut Dream,0.5L,Card,,,,,5.0,20.6,,
2023-01-03,30123049,Bar,Eucalyptus Mint,2x,Card,,,,,4.999999999999999,31.15,,
2023-01-03,30123050,Bar,Rose Garden,4x,Card,1005128,Fransisco Cuttler,Silver,0.1,4.0,33.48,30.131999999999998,7.81
2023-01-03,30123051,Bar,Vanilla Bean,2x,Card,1002316,Dud Elstub,,,2.0,13.72,,
2023-01-03,30123052,Bar,Lavender Fields,4x,Cash,,,,,4.0,20.4,,
2023-01-03,30123052,Liquid,Vanilla Bean,0.5L,Cash,,,,,2.0,14.7,,
2023-01-03,30123052,Liquid,Sandalwood Spice,1L,Cash,,,,,2.0,26.38,,
2023-01-03,30123053,Bar,Eucalyptus Mint,1x,Cash,1006831,Maudie Croote,Silver,0.1,1.0,3.49,3.1410000000000005,1.25
2023-01-03,30123053,Bar,Coconut Dream,1x,Cash,1006831,Maudie Croote,Silver,0.1,2.0,5.48,4.932,2.05
2023-01-03,30123053,Liquid,Ocean Mist,0.25L,Cash,1006831,Maudie Croote,Silver,0.1,3.0,4.65,4.1850000000000005,1.82
2023-01-03,30123054,Liquid,Ocean Mist,0.25L,Cash,,,,,5.0,7.75,,
2023-01-03,30123054,Liquid,Sandalwood Spice,1L,Cash,,,,,3.0,39.57,,
2023-01-03,30123054,Liquid,Coconut Dream,1L,Cash,,,,,4.0,30.0,,
2023-01-03,30123055,Bar,Ocean Mist,1x,Card,,,,,4.0,4.8,,
2023-01-03,30123055,Bar,Sandalwood Spice,1x,Card,,,,,4.0,15.0,,
2023-01-03,30123055,Bar,Ocean Mist,2x,Card,,,,,2.0,4.08,,
2023-01-03,30123056,Bar,Rose Garden,4x,Card,,,,,1.0,8.37,,
2023-01-03,30123056,Liquid,Rose Garden,0.5L,Card,,,,,5.0,35.25,,
2023-01-03,30123057,Bar,Lavender Fields,2x,Card,1008201,Cosetta O'Cahill,Bronze,0.05,1.0,2.41,2.2895,-0.09
2023-01-03,30123057,Bar,Ocean Mist,4x,Card,1008201,Cosetta O'Cahill,Bronze,0.05,4.0,18.6,17.67,8.15
2023-01-03,30123057,Bar,Cedarwood Forest,4x,Card,1008201,Cosetta O'Cahill,Bronze,0.05,2.0,10.6,10.069999999999999,2.07
2023-01-03,30123058,Bar,Vanilla Bean,4x,Cash,1002980,Eziechiele Brugemann,Bronze,0.05,2.0,35.48,33.705999999999996,15.71
2023-01-03,30123058,Liquid,Vanilla Bean,1L,Cash,1002980,Eziechiele Brugemann,Bronze,0.05,1.0,12.5,11.875,0.03
2023-01-04,40123001,Bar,Sandalwood Spice,4x,Cash,1001947,Barth Matula,,,2.0,15.98,,
2023-01-04,40123001,Liquid,Ocean Mist,0.25L,Cash,1001947,Barth Matula,,,4.0,6.2,,
2023-01-04,40123002,Bar,Lavender Fields,4x,Cash,,,,,5.0,25.5,,
2023-01-04,40123003,Bar,Coconut Dream,4x,Cash,1001434,Anne-Corinne Sante,Bronze,0.05,1.0,9.63,9.1485,3.97
2023-01-04,40123004,Bar,Lavender Fields,1x,Cash,1006124,Rustie O'Dunniom,Bronze,0.05,2.0,3.54,3.363,0.86
2023-01-04,40123004,Liquid,Vanilla Bean,1L,Cash,1006124,Rustie O'Dunniom,Bronze,0.05,5.0,62.5,59.375,0.13
2023-01-04,40123005,Liquid,Cedarwood Forest,0.5L,Cash,1009117,Elnar Serjent,Bronze,0.05,1.0,4.39,4.1705,1.52
2023-01-04,40123006,Bar,Citrus Breeze,1x,Cash,1001696,Lorain Mcconnell,,,2.0,1.62,,
2023-01-04,40123007,Liquid,Coconut Dream,1L,Cash,,,,,3.0,22.5,,
2023-01-04,40123008,Bar,Cedarwood Forest,4x,Card,1004441,Tremaine Zannelli,Silver,0.1,5.0,26.5,23.85,3.85
2023-01-04,40123009,Bar,Rose Garden,2x,Cash,1009766,Gwenneth Trobe,Bronze,0.05,2.0,6.34,6.023,0.12
2023-01-04,40123009,Bar,Fresh Rain,4x,Cash,1009766,Gwenneth Trobe,Bronze,0.05,1.0,4.28,4.066,0.69
2023-01-04,40123009,Liquid,Rose Garden,0.25L,Cash,1009766,Gwenneth Trobe,Bronze,0.05,1.0,1.9,1.805,-0.06
2023-01-04,40123010,Liquid,Sandalwood Spice,0.25L,Card,,,,,1.0,4.25,,
2023-01-04,40123011,Bar,Lavender Fields,1x,Card,1001269,Fin Rhucroft,,,4.0,7.08,,
2023-01-04,40123011,Liquid,Rose Garden,0.25L,Card,1001269,Fin Rhucroft,,,2.0,3.8,,
2023-01-04,40123012,Bar,Vanilla Bean,4x,Cash,1004968,Raeann Drysdall,Bronze,0.05,5.000000000000001,88.7,84.265,39.26
2023-01-04,40123012,Liquid,Vanilla Bean,1L,Cash,1004968,Raeann Drysdall,Bronze,0.05,1.0,12.5,11.875,0.03
2023-01-04,40123013,Liquid,Cedarwood Forest,0.25L,Card,1003116,Shana Witcher,Bronze,0.05,2.0,3.12,2.964,0.3
2023-01-04,40123014,Bar,Vanilla Bean,1x,Card,1006113,Cristen Sporton,Bronze,0.05,3.0,10.92,10.373999999999999,2.87
2023-01-04,40123014,Bar,Citrus Breeze,4x,Card,1006113,Cristen Sporton,Bronze,0.05,4.0,16.24,15.427999999999997,4.63
2023-01-04,40123015,Bar,Coconut Dream,1x,Cash,1006158,Karlan Gerard,Silver,0.1,4.0,10.96,9.864,4.1
2023-01-04,40123015,Bar,Eucalyptus Mint,4x,Cash,1006158,Karlan Gerard,Silver,0.1,1.0,8.3,7.470000000000001,0.67
2023-01-04,40123016,Bar,Fresh Rain,2x,Cash,1006190,Yard Mollen,Silver,0.1,1.0,1.89,1.7009999999999998,-0.09
2023-01-04,40123016,Bar,Coconut Dream,2x,Cash,1006190,Yard Mollen,Silver,0.1,4.0,17.28,15.552000000000001,4.59
2023-01-04,40123017,Bar,Sandalwood Spice,4x,Cash,1003139,Krystyna Hessentaler,Bronze,0.05,2.0,15.98,15.181,0.5
2023-01-04,40123017,Liquid,Cedarwood Forest,0.25L,Cash,1003139,Krystyna Hessentaler,Bronze,0.05,2.9999999999999996,4.68,4.446,0.46
2023-01-04,40123018,Liquid,Cedarwood Forest,0.25L,Cash,1005925,Aloise Diffley,Bronze,0.05,4.0,6.24,5.928,0.61
2023-01-04,40123019,Bar,Eucalyptus Mint,1x,Card,1000141,Gareth Ovitts,Silver,0.1,4.0,13.96,12.564000000000002,5.0
2023-01-04,40123020,Bar,Cedarwood Forest,4x,Cash,1001899,Wynny Duxbarry,Bronze,0.05,5.0,26.5,25.174999999999997,5.17
2023-01-04,40123020,Liquid,Cedarwood Forest,0.25L,Cash,1001899,Wynny Duxbarry,Bronze,0.05,4.0,6.24,5.928,0.61
2023-01-04,40123021,Bar,Rose Garden,1x,Cash,1007125,Bear Raoult,Silver,0.1,2.9999999999999996,7.35,6.615,1.97
2023-01-04,40123021,Bar,Rose Garden,1x,Cash,1007125,Bear Raoult,Silver,0.1,4.0,9.8,8.82,2.62
2023-01-04,40123021,Liquid,Vanilla Bean,0.25L,Cash,1007125,Bear Raoult,Silver,0.1,5.0,23.05,20.745,5.75
2023-01-04,40123022,Bar,Citrus Breeze,2x,Cash,1005053,Rena Mcclifferty,Silver,0.1,4.0,8.08,7.272,1.59
2023-01-04,40123022,Liquid,Rose Garden,0.25L,Cash,1005053,Rena Mcclifferty,Silver,0.1,3.0000000000000004,5.7,5.13,-0.45
2023-01-04,40123022,Liquid,Rose Garden,0.25L,Cash,1005053,Rena Mcclifferty,Silver,0.1,3.0000000000000004,5.7,5.13,-0.45
2023-01-04,40123023,Bar,Fresh Rain,4x,Cash,,,,,4.999999999999999,21.4,,
2023-01-04,40123023,Bar,Sandalwood Spice,4x,Cash,,,,,2.9999999999999996,23.97,,
2023-01-04,40123024,Bar,Rose Garden,1x,Card,1009554,Velvet Ebbitt,,,1.0,2.45,,
2023-01-04,40123024,Bar,Coconut Dream,1x,Card,1009554,Velvet Ebbitt,,,4.0,10.96,,
2023-01-04,40123025,Bar,Eucalyptus Mint,4x,Cash,1008385,Nancee Hutchason,Gold,0.15,2.0,16.6,14.110000000000001,0.51
2023-01-04,40123026,Bar,Ocean Mist,4x,Card,1008227,Raina Macrae,Silver,0.1,1.0,4.65,4.1850000000000005,1.81
2023-01-04,40123026,Liquid,Vanilla Bean,0.25L,Card,1008227,Raina Macrae,Silver,0.1,5.0,23.05,20.745,5.75
2023-01-04,40123026,Liquid,Fresh Rain,1L,Card,1008227,Raina Macrae,Silver,0.1,5.0,40.75,36.675000000000004,14.38
2023-01-04,40123027,Liquid,Fresh Rain,0.25L,Cash,1001834,Wildon Agglio,Silver,0.1,2.0,2.86,2.574,0.31
2023-01-04,40123027,Liquid,Lavender Fields,0.5L,Cash,1001834,Wildon Agglio,Silver,0.1,2.0,9.9,8.91,2.93
2023-01-04,40123028,Bar,Lavender Fields,1x,Card,1005241,Vania Arndell,Silver,0.1,5.0,8.85,7.965,1.72
2023-01-04,40123028,Bar,Vanilla Bean,2x,Card,1005241,Vania Arndell,Silver,0.1,2.9999999999999996,20.58,18.522,4.27
2023-01-04,40123028,Liquid,Sandalwood Spice,0.25L,Card,1005241,Vania Arndell,Silver,0.1,1.0,4.25,3.825,1.38
2023-01-04,40123029,Bar,Sandalwood Spice,1x,Card,1008871,Neall Curry,Gold,0.15,5.0,18.75,15.9375,5.74
2023-01-04,40123029,Bar,Cedarwood Forest,2x,Card,1008871,Neall Curry,Gold,0.15,1.0,3.05,2.5925,0.48
2023-01-04,40123029,Bar,Coconut Dream,4x,Card,1008871,Neall Curry,Gold,0.15,4.0,38.52,32.742000000000004,12.02
2023-01-04,40123030,Bar,Lavender Fields,1x,Cash,,,,,1.0,1.77,,
2023-01-04,40123031,Liquid,Vanilla Bean,1L,Card,1004695,Amara Tucknott,Silver,0.1,5.0,62.5,56.25,-3.0
2023-01-04,40123032,Bar,Cedarwood Forest,1x,Card,,,,,5.0,10.9,,
2023-01-04,40123032,Bar,Sandalwood Spice,4x,Card,,,,,2.0,15.98,,
2023-01-04,40123032,Liquid,Coconut Dream,0.5L,Card,,,,,3.0,12.36,,
2023-01-04,40123033,Bar,Lavender Fields,4x,Cash,1004052,Archambault Tewelson,,,3.0000000000000004,15.3,,
2023-01-04,40123033,Liquid,Coconut Dream,1L,Cash,1004052,Archambault Tewelson,,,1.0,7.5,,
2023-01-04,40123034,Liquid,Vanilla Bean,0.25L,Card,1002213,Jodee Scurr,Gold,0.15,2.0,9.22,7.837000000000001,1.84
2023-01-04,40123034,Liquid,Fresh Rain,0.5L,Card,1002213,Jodee Scurr,Gold,0.15,5.0,11.25,9.5625,-1.64
2023-01-04,40123035,Liquid,Coconut Dream,0.25L,Cash,,,,,3.0,7.14,,
2023-01-04,40123036,Liquid,Ocean Mist,0.5L,Cash,1007336,Sherrie Cosyns,Silver,0.1,4.0,11.64,10.476,4.16
2023-01-04,40123036,Liquid,Vanilla Bean,1L,Cash,1007336,Sherrie Cosyns,Silver,0.1,1.0,12.5,11.25,-0.6
2023-01-04,40123037,Bar,Ocean Mist,1x,Card,,,,,5.0,6.0,,
2023-01-04,40123037,Liquid,Rose Garden,0.5L,Card,,,,,1.0,7.05,,
2023-01-04,40123037,Liquid,Citrus Breeze,1L,Card,,,,,4.0,23.68,,
2023-01-04,40123038,Liquid,Citrus Breeze,0.25L,Cash,1009244,Mischa Spaunton,Bronze,0.05,4.0,5.84,5.548,1.95
2023-01-04,40123039,Bar,Coconut Dream,2x,Cash,1001509,Willy Rennebeck,Silver,0.1,2.0,8.64,7.776000000000001,2.3
2023-01-04,40123039,Liquid,Cedarwood Forest,1L,Cash,1001509,Willy Rennebeck,Silver,0.1,3.0000000000000004,20.28,18.252000000000002,2.47
2023-01-04,40123040,Bar,Coconut Dream,4x,Card,,,,,4.999999999999999,48.15,,
2023-01-04,40123040,Liquid,Coconut Dream,0.25L,Card,,,,,4.0,9.52,,
2023-01-04,40123041,Bar,Ocean Mist,4x,Cash,,,,,4.0,18.6,,
2023-01-04,40123041,Bar,Rose Garden,4x,Cash,,,,,2.0,16.74,,
2023-01-04,40123041,Liquid,Vanilla Bean,0.25L,Cash,,,,,3.0,13.83,,
2023-01-04,40123042,Bar,Coconut Dream,4x,Cash,1000479,Shep Long,Silver,0.1,3.0,28.89,26.001,10.46
2023-01-04,40123042,Liquid,Eucalyptus Mint,0.5L,Cash,1000479,Shep Long,Silver,0.1,4.0,35.52,31.968000000000004,13.93
2023-01-04,40123043,Liquid,Sandalwood Spice,0.5L,Card,,,,,1.0,9.56,,
2023-01-04,40123044,Bar,Fresh Rain,4x,Card,1007463,Karisa Deeman,Silver,0.1,1.0,4.28,3.8520000000000003,0.47
2023-01-04,40123044,Bar,Eucalyptus Mint,4x,Card,1007463,Karisa Deeman,Silver,0.1,5.0,41.5,37.35,3.35
2023-01-04,40123045,Bar,Fresh Rain,1x,Card,1003753,Sherwynd Sparshatt,Bronze,0.05,3.0,4.83,4.5885,1.77
2023-01-04,40123045,Liquid,Lavender Fields,0.5L,Card,1003753,Sherwynd Sparshatt,Bronze,0.05,3.0,14.85,14.107499999999998,5.14
2023-01-04,40123046,Liquid,Cedarwood Forest,0.25L,Cash,1009634,Moll Van Geffen,Bronze,0.05,5.0,7.8,7.409999999999999,0.76
2023-01-04,40123046,Liquid,Rose Garden,1L,Cash,1009634,Moll Van Geffen,Bronze,0.05,5.0,59.25,56.287499999999994,19.54
2023-01-04,40123047,Liquid,Eucalyptus Mint,0.5L,Card,1004316,Marjory Burr,Silver,0.1,4.999999999999999,44.4,39.96,17.41
2023-01-04,40123048,Bar,Rose Garden,4x,Cash,,,,,4.0,33.48,,
2023-01-04,40123048,Liquid,Fresh Rain,1L,Cash,,,,,2.0,16.3,,
2023-01-04,40123049,Bar,Sandalwood Spice,2x,Cash,,,,,1.0,7.57,,
2023-01-04,40123049,Bar,Sandalwood Spice,4x,Cash,,,,,2.0,15.98,,
2023-01-04,40123049,Liquid,Eucalyptus Mint,1L,Cash,,,,,1.0,13.27,,
2023-01-04,40123050,Bar,Rose Garden,2x,Cash,1003660,Teresa Vigars,Silver,0.1,5.0,15.85,14.265,-0.48
2023-01-04,40123050,Bar,Eucalyptus Mint,2x,Cash,1003660,Teresa Vigars,Silver,0.1,3.0,18.69,16.821,6.05
2023-01-04,40123051,Liquid,Sandalwood Spice,1L,Cash,1004248,Taffy Weymouth,Bronze,0.05,4.0,52.76,50.12199999999999,11.44
2023-01-04,40123052,Bar,Ocean Mist,2x,Card,1009131,Idalia Janczewski,Bronze,0.05,1.0,2.04,1.938,0.69
2023-01-04,40123052,Liquid,Ocean Mist,0.25L,Card,1009131,Idalia Janczewski,Bronze,0.05,1.0,1.55,1.4725,0.68
2023-01-04,40123052,Liquid,Citrus Breeze,1L,Card,1009131,Idalia Janczewski,Bronze,0.05,4.0,23.68,22.496,8.3
2023-01-04,40123053,Bar,Sandalwood Spice,4x,Cash,1009191,Wylie Strute,Silver,0.1,4.0,31.96,28.764000000000003,-0.6
2023-01-04,40123053,Liquid,Fresh Rain,0.5L,Cash,1009191,Wylie Strute,Silver,0.1,3.0,6.75,6.075,-0.65
2023-01-04,40123054,Liquid,Fresh Rain,0.5L,Card,1006266,Arther Bolus,Silver,0.1,5.0,11.25,10.125,-1.08
