Student ID,Full Name,Date of Birth,Region,English,Maths,Science,Grade Score,School Name,School ID
15103,SHALNE STANIFORD,2006-03-11,WEST,C,C,B,100,Park Road Secondary,1
15104,OMAR BULLIVANT,2007-04-24,WEST,B,C,C,100,Park Road Secondary,1
15105,SHARAI FEELEY,2006-09-30,WEST,C,B,B,110,Park Road Secondary,1
15106,HIRAM PATINGTON,2006-02-12,WEST,C,C,E,70,Park Road Secondary,1
15107,HONEY BLOAN,2006-01-10,WEST,A,B,B,130,Park Road Secondary,1
15108,ORAZIO STOKER,2007-04-25,WEST,A,A,A,150,Park Road Secondary,1
15109,PHYLLYS HEBBES,2006-10-12,WEST,C,A,B,120,Park Road Secondary,1
15110,GERRI CHIMIENTI,2006-10-13,WEST,C,C,A,110,Park Road Secondary,1
15111,COINTON KETCHELL,2007-08-21,WEST,C,F,B,70,Park Road Secondary,1
15112,ROLLINS KROCH,2007-10-04,WEST,C,C,F,60,Park Road Secondary,1
15113,ALLIN JOSEFSOHN,2007-05-28,WEST,C,D,C,80,Park Road Secondary,1
15114,IVY VELLDEN,2006-12-16,WEST,A,A,C,130,Park Road Secondary,1
15115,DES KINGSWORTH,2007-08-23,WEST,A,C,B,120,Park Road Secondary,1
15116,JEN PALLENT,2006-03-10,WEST,C,B,C,100,Park Road Secondary,1
15117,ANATOL REDDEL,2007-05-06,WEST,B,C,B,110,Park Road Secondary,1
15118,JUANITA BLANKING,2007-07-23,WEST,E,B,F,50,Park Road Secondary,1
15119,ISA KIRA,2007-05-03,WEST,C,E,B,80,Park Road Secondary,1
15120,CHERLYN KREBER,2006-10-23,WEST,A,A,B,140,Park Road Secondary,1
15121,ANDIE ROBIOU,2006-11-28,WEST,C,A,B,120,Park Road Secondary,1
15122,ZITELLA LOWY,2007-02-14,WEST,B,A,C,120,Park Road Secondary,1
15123,MARIGOLD FORTESCUE,2007-05-23,WEST,A,C,B,120,Park Road Secondary,1
15124,DELORES WALLBANKS,2007-03-15,WEST,B,A,B,130,Park Road Secondary,1
15125,RENAULT STRUTTON,2007-08-20,WEST,B,A,A,140,Park Road Secondary,1
15126,ARRON FRICK,2006-09-17,WEST,C,C,D,80,Park Road Secondary,1
15127,LEO HOULTON,2007-07-05,WEST,B,A,B,130,Park Road Secondary,1
15128,DENE LEDDIE,2007-06-21,WEST,A,B,B,130,Park Road Secondary,1
15129,NINA BRIND,2007-09-05,WEST,C,B,B,110,Park Road Secondary,1
15130,DIANNA HEAKEY,2007-03-30,WEST,A,B,C,120,Park Road Secondary,1
15131,RENIE STEENSON,2007-03-24,WEST,B,C,B,110,Park Road Secondary,1
15132,EPHREM TOURMELL,2007-08-01,WEST,D,C,C,80,Park Road Secondary,1
15133,STACY MACNEIL,2006-10-30,WEST,B,C,B,110,Park Road Secondary,1
15134,ERNY ETHRIDGE,2007-03-04,WEST,C,B,C,100,Park Road Secondary,1
15135,RUDYARD DANILEVICH,2007-03-06,WEST,F,D,A,70,Park Road Secondary,1
15136,FREDERIK DIVISEK,2006-08-09,WEST,C,A,C,110,Park Road Secondary,1
15137,DORI KENNSLEY,2007-07-21,WEST,C,A,A,130,Park Road Secondary,1
15138,JOSEITO GRONAUER,2007-08-23,WEST,C,B,C,100,Park Road Secondary,1
15139,FARRAH FARNORTH,2007-09-03,WEST,B,C,B,110,Park Road Secondary,1
15140,ESTA HURDEDGE,2006-06-11,WEST,B,C,A,120,Park Road Secondary,1
15141,ARCH TURLEY,2006-09-24,WEST,B,C,A,120,Park Road Secondary,1
15142,LEANOR TIVOLIER,2006-04-12,WEST,C,E,A,90,Park Road Secondary,1
15143,ROBERS TEMBRIDGE,2007-11-04,WEST,B,B,C,110,Park Road Secondary,1
15144,DEANE BOTTELSTONE,2007-01-20,WEST,C,D,B,90,Park Road Secondary,1
15145,SISELY GRAMER,2006-09-29,WEST,C,C,B,100,Park Road Secondary,1
15146,SOLLY BICKARDIKE,2006-04-09,WEST,A,C,C,110,Park Road Secondary,1
15147,DARYL JENKINS,2007-07-05,WEST,C,B,B,110,Park Road Secondary,1
15148,TEDMUND SEGROTT,2007-05-04,WEST,C,B,C,100,Park Road Secondary,1
15149,JERAMIE MONNELLY,2007-03-13,WEST,B,C,C,100,Park Road Secondary,1
15150,COURT HAZELL,2006-11-09,WEST,A,C,C,110,Park Road Secondary,1
15151,KING BEEVORS,2006-12-30,WEST,C,C,B,100,Park Road Secondary,1
15152,ANNISSA TAGG,2007-04-14,WEST,B,B,D,100,Park Road Secondary,1
15153,GILBERTO CLEARIE,2007-06-21,WEST,B,A,D,110,Park Road Secondary,1
15154,WILLA SCINELLI,2007-04-22,WEST,B,B,C,110,Park Road Secondary,1
15155,DELPHINIA MERLIN,2007-12-03,WEST,D,B,B,100,Park Road Secondary,1
15156,MATTIE WILLCOCKS,2007-06-16,WEST,C,A,B,120,Park Road Secondary,1
15157,CONNI HARDY,2007-06-07,WEST,C,C,A,110,Park Road Secondary,1
15158,CHADWICK BRAZENOR,2007-02-07,WEST,C,B,C,100,Park Road Secondary,1
15159,BERNICE ZAMBON,2007-06-28,WEST,B,D,B,100,Park Road Secondary,1
15160,RANDAL D'AGOSTINI,2007-04-06,WEST,B,B,A,130,Park Road Secondary,1
15161,FERGUS BREWSTER,2006-10-09,WEST,C,C,D,80,Park Road Secondary,1
15162,THALIA TREMBLEY,2006-10-28,WEST,B,B,C,110,Park Road Secondary,1
15163,ARLEEN CRIMES,2007-10-07,WEST,C,B,B,110,Park Road Secondary,1
15164,TABBIE HAYCOX,2006-11-28,WEST,A,C,D,100,Park Road Secondary,1
15165,RALINA HOVEY,2007-06-01,WEST,A,C,B,120,Park Road Secondary,1
15166,STANFORD PELLER,2006-07-09,WEST,C,B,D,90,Park Road Secondary,1
15167,MARYELLEN GALLY,2007-04-19,WEST,B,B,B,120,Park Road Secondary,1
15168,NATASSIA ANTONIK,2007-07-18,WEST,B,D,D,80,Park Road Secondary,1
15169,ASE CLILVERD,2007-02-27,WEST,A,C,C,110,Park Road Secondary,1
15170,GUILLEMETTE GATHERCOAL,2007-08-15,WEST,D,A,A,120,Park Road Secondary,1
15171,JAYMIE INGERMAN,2007-12-06,WEST,B,A,C,120,Park Road Secondary,1
15172,ELSWORTH ELLERBECK,2007-08-26,WEST,A,D,A,120,Park Road Secondary,1
15173,JERAD ROWNTREE,2007-04-26,WEST,B,C,A,120,Park Road Secondary,1
15174,ETHE CORBISHLEY,2007-02-04,WEST,A,B,B,130,Park Road Secondary,1
15175,HOYT TREADGER,2007-02-16,WEST,C,C,C,90,Park Road Secondary,1
15176,LAINEY PANONS,2006-11-23,WEST,C,B,A,120,Park Road Secondary,1
15177,MAVRA CAULCUTT,2007-01-04,WEST,C,B,A,120,Park Road Secondary,1
15178,OGDON KUNDERT,2007-04-21,WEST,B,B,B,120,Park Road Secondary,1
15179,KAHLIL BLACKALLER,2006-11-14,WEST,A,D,A,120,Park Road Secondary,1
15180,ZACKARIAH WEDLOCK,2006-12-20,WEST,A,B,B,130,Park Road Secondary,1
15181,NELSON TUMILTY,2006-11-21,WEST,C,C,C,90,Park Road Secondary,1
15182,ARLEE COCKLING,2007-01-02,WEST,A,D,D,90,Park Road Secondary,1
15183,LAUREEN O'GORMALLY,2007-03-02,WEST,C,C,D,80,Park Road Secondary,1
15184,SUZANNA WILDBORE,2006-11-14,WEST,C,C,B,100,Park Road Secondary,1
15185,WORDEN MCKIBBEN,2006-10-19,WEST,C,D,A,100,Park Road Secondary,1
15186,RENAE GILBODY,2007-01-04,WEST,C,C,A,110,Park Road Secondary,1
15187,JEWEL HANSELL,2006-10-25,WEST,A,B,B,130,Park Road Secondary,1
15188,ORV LANNEY,2006-10-20,WEST,C,B,B,110,Park Road Secondary,1
15189,ANTONIN TYSON,2007-06-24,WEST,B,B,B,120,Park Road Secondary,1
15190,ISAHELLA SICCOMBE,2006-12-22,WEST,C,B,A,120,Park Road Secondary,1
15191,SIGISMUND THACKSTON,2006-12-27,WEST,B,B,C,110,Park Road Secondary,1
15192,TAMMIE BURNALL,2006-11-19,WEST,B,B,C,110,Park Road Secondary,1
15193,LYNNELL YANDELL,2007-07-14,WEST,A,C,F,80,Park Road Secondary,1
15194,TONY ISHAKI,2007-09-06,WEST,C,A,A,130,Park Road Secondary,1
15195,HEDA MARTINUZZI,2006-07-10,WEST,C,C,B,100,Park Road Secondary,1
15196,BECK MCWHORTER,2006-11-16,WEST,C,C,B,100,Park Road Secondary,1
15197,CALE BENARDET,2007-01-29,WEST,E,E,A,70,Park Road Secondary,1
15198,SIWARD GRENFELL,2006-11-15,WEST,D,B,A,110,Park Road Secondary,1
15199,ESTHER VAN VUUREN,2007-02-08,WEST,A,B,B,130,Park Road Secondary,1
15200,JARED BROCKWAY,2006-10-30,WEST,A,D,B,110,Park Road Secondary,1
15201,ARA TALLACH,2007-08-29,WEST,E,B,A,100,Park Road Secondary,1
15202,ABBOTT ESSON,2007-02-15,WEST,D,B,A,110,Park Road Secondary,1
15203,KORESSA MCNELIS,2007-10-03,WEST,C,A,C,110,Park Road Secondary,1
15204,BIBBYE MORGUE,2007-05-19,WEST,D,C,B,90,Park Road Secondary,1
15205,NEDDA CLEMENZA,2007-01-02,WEST,F,C,A,80,Park Road Secondary,1
15206,ARDRA RAMES,2007-04-25,WEST,C,E,A,90,Park Road Secondary,1
15207,CORRIANNE WAITH,2006-09-09,WEST,D,B,B,100,Park Road Secondary,1
15208,LIZETTE POMERY,2006-11-13,WEST,B,D,C,90,Park Road Secondary,1
15209,REGAN MULLOCH,2007-08-26,WEST,A,B,D,110,Park Road Secondary,1
15210,CONSALVE BEATHEM,2007-09-03,WEST,C,A,A,130,Park Road Secondary,1
15211,ARVIN BROKER,2007-08-25,WEST,B,C,B,110,Park Road Secondary,1
15212,COINTON CRAVEN,2007-11-07,WEST,A,A,D,120,Park Road Secondary,1
15213,KALLE STOUT,2006-10-19,WEST,B,E,A,100,Park Road Secondary,1
15214,TORRANCE SCROGGIE,2007-03-15,WEST,E,B,C,80,Park Road Secondary,1
15215,LYDON KENNEA,2007-04-05,WEST,B,A,B,130,Park Road Secondary,1
15216,NANNIE KLEINBERER,2007-09-06,WEST,C,C,C,90,Park Road Secondary,1
15217,TORRIN YEOWELL,2007-06-05,WEST,A,A,C,130,Park Road Secondary,1
15218,FILIPPO RIBEIRO,2007-05-24,WEST,A,C,C,110,Park Road Secondary,1
15219,LAURE MCGILLREICH,2006-11-19,WEST,B,A,B,130,Park Road Secondary,1
15220,SALOMI LORENZ,2006-10-26,WEST,A,C,D,100,Park Road Secondary,1
15221,BRIGID POWIS,2007-08-08,WEST,C,C,B,100,Park Road Secondary,1
15222,NIKE EVERINGHAM,2006-11-15,WEST,C,C,C,90,Park Road Secondary,1
15223,JARRETT WEWELL,2007-11-04,WEST,B,D,B,100,Park Road Secondary,1
15224,LORNA SCAMP,2007-03-06,WEST,D,A,B,110,Park Road Secondary,1
15225,RALEIGH GOAKES,2007-05-26,WEST,B,B,C,110,Park Road Secondary,1
15226,KARI ALLSUP,2006-09-30,WEST,B,C,C,100,Park Road Secondary,1
15227,MARLEEN DERRINGTON,2007-08-08,WEST,C,C,B,100,Park Road Secondary,1
15228,FREDERIGO PITTOCK,2006-09-21,WEST,A,B,A,140,Park Road Secondary,1
15229,BECKI GRESON,2007-03-19,WEST,B,A,D,110,Park Road Secondary,1
15230,PHIP CROSON,2007-08-28,WEST,C,D,A,100,Park Road Secondary,1
15231,HOLMES ISMAIL,2007-07-19,WEST,D,C,B,90,Park Road Secondary,1
15232,EFFIE BENDON,2006-11-12,WEST,C,C,C,90,Park Road Secondary,1
15233,GRAEME JOSUM,2007-04-22,WEST,C,C,C,90,Park Road Secondary,1
15234,YULMA GRABER,2006-09-18,WEST,E,C,C,70,Park Road Secondary,1
15235,GIORGIA DINCEY,2006-05-11,WEST,B,C,C,100,Park Road Secondary,1
15236,THERINE ARGUILE,2006-12-09,WEST,A,B,A,140,Park Road Secondary,1
15237,ASHLEIGH CRESWELL,2007-04-26,WEST,C,A,D,100,Park Road Secondary,1
15238,BOOTH TISSIER,2007-02-06,WEST,C,B,A,120,Park Road Secondary,1
15239,KEELBY DEGUE,2006-12-31,WEST,D,A,C,100,Park Road Secondary,1
15240,AGGIE STANSBIE,2007-03-20,WEST,B,B,C,110,Park Road Secondary,1
15241,FIONA O'CORRIGANE,2007-04-20,WEST,B,C,B,110,Park Road Secondary,1
15242,YORK PIOTROWSKI,2007-12-04,WEST,B,A,C,120,Park Road Secondary,1
15243,JARRETT THAIRS,2006-11-13,WEST,B,D,D,80,Park Road Secondary,1
15244,RAFA RAYE,2006-01-10,WEST,C,C,D,80,Park Road Secondary,1
15245,CIEL BESNARDEAU,2007-02-21,WEST,C,B,B,110,Park Road Secondary,1
15246,ERMINIE ARBOIN,2007-01-04,WEST,A,C,B,120,Park Road Secondary,1
15247,TOWN CUST,2007-08-06,WEST,D,C,A,100,Park Road Secondary,1
15248,ELITA JIRASEK,2006-09-26,WEST,C,B,C,100,Park Road Secondary,1
15249,SHARLENE RICKARD,2006-10-23,WEST,C,A,B,120,Park Road Secondary,1
15250,MADONNA PETOFI,2007-05-18,WEST,B,C,B,110,Park Road Secondary,1
15251,ALEJANDRINA MARTENSEN,2007-12-04,WEST,A,C,B,120,Park Road Secondary,1
15252,MADLIN MADDOX,2006-11-10,WEST,A,B,B,130,Park Road Secondary,1
15253,CLAUDINE EARIE,2007-01-08,WEST,D,D,C,70,Park Road Secondary,1
15254,DAWNA SMALEMAN,2007-03-14,WEST,B,C,C,100,Park Road Secondary,1
15255,PIETRA TATTERSALL,2006-11-26,WEST,D,C,A,100,Park Road Secondary,1
15256,NICHOLS DAOUT,2006-10-15,WEST,C,C,C,90,Park Road Secondary,1
15257,LUISA BUMPHREY,2006-09-18,WEST,E,A,B,100,Park Road Secondary,1
15258,DAVON DANZELMAN,2007-11-06,WEST,B,A,C,120,Park Road Secondary,1
15259,MARION PARZIZEK,2006-10-15,WEST,B,B,A,130,Park Road Secondary,1
15260,KLARIKA RAGG,2007-02-05,WEST,F,C,F,30,Park Road Secondary,1
15261,MARNEY THOMASSON,2007-02-05,WEST,B,D,D,80,Park Road Secondary,1
15262,BERNICE ROSEDALE,2007-07-29,WEST,C,A,C,110,Park Road Secondary,1
15263,TOMMI LONGMAID,2007-07-23,WEST,B,A,C,120,Park Road Secondary,1
15264,PALOMA JEANENET,2007-06-28,WEST,C,A,B,120,Park Road Secondary,1
15265,CONNIE TEASER,2007-01-01,WEST,C,D,A,100,Park Road Secondary,1
15266,ROWNEY VASILYEVSKI,2007-08-13,WEST,B,B,B,120,Park Road Secondary,1
15267,NANI DUFFY,2007-01-29,WEST,A,C,C,110,Park Road Secondary,1
15268,LORINDA ELDERSHAW,2006-07-10,WEST,B,D,A,110,Park Road Secondary,1
15269,FINDLEY MCVEY,2007-06-29,WEST,C,C,A,110,Park Road Secondary,1
15270,FREDRICK EVERSON,2007-11-03,WEST,D,D,B,80,Park Road Secondary,1
15271,COSTA WARE,2006-09-23,WEST,B,C,B,110,Park Road Secondary,1
15272,MADDI BETJES,2006-10-11,WEST,B,D,A,110,Park Road Secondary,1
15273,PATTON JANISZEWSKI,2006-06-12,WEST,D,B,A,110,Park Road Secondary,1
15274,MARGA BLAMPIED,2006-11-10,WEST,A,A,B,140,Park Road Secondary,1
15275,WEBSTER UVEDALE,2007-05-17,WEST,D,C,B,90,Park Road Secondary,1
15276,KORALLE PLASKITT,2007-05-20,WEST,C,A,B,120,Park Road Secondary,1
15277,BURK BRAIDEN,2006-09-25,WEST,B,C,C,100,Park Road Secondary,1
15278,BROOK TIMOTHY,2007-06-28,WEST,D,E,B,70,Park Road Secondary,1
15279,BREAR THOMAZET,2007-07-17,WEST,C,C,D,80,Park Road Secondary,1
15280,NOLAN TREMBEY,2006-12-16,WEST,C,A,B,120,Park Road Secondary,1
15281,ADI MIDDELL,2007-07-17,WEST,C,D,C,80,Park Road Secondary,1
15282,MEGGY GREEN,2007-11-07,WEST,A,A,C,130,Park Road Secondary,1
15283,SALOMA BERNARDEZ,2007-08-04,WEST,D,B,C,90,Park Road Secondary,1
15284,MARION BRUNTJEN,2006-12-28,WEST,D,B,B,100,Park Road Secondary,1
15285,LOREN BECKERS,2007-07-05,WEST,B,A,A,140,Park Road Secondary,1
15286,VERGIL HURDISS,2006-11-27,WEST,B,C,B,110,Park Road Secondary,1
15287,CORABEL WHISTON,2007-10-06,WEST,B,C,C,100,Park Road Secondary,1
15288,MICHAELA NELLES,2007-04-28,WEST,C,C,A,110,Park Road Secondary,1
15289,DORTHY HUSTON,2006-11-16,WEST,C,A,D,100,Park Road Secondary,1
15290,KANDACE WILLINGALE,2006-06-10,WEST,B,E,B,90,Park Road Secondary,1
15291,AMBROSI VYNEHALL,2006-11-22,WEST,A,C,B,120,Park Road Secondary,1
15292,AUBRIE IVATTS,2007-07-29,WEST,A,A,B,140,Park Road Secondary,1
15293,WANG CORNICK,2007-01-18,WEST,B,B,A,130,Park Road Secondary,1
15294,LEICESTER CUTLER,2007-08-17,WEST,C,D,C,80,Park Road Secondary,1
15295,DACEY ELDREDGE,2007-07-22,WEST,A,B,D,110,Park Road Secondary,1
15296,MARYLYNNE LYSTE,2006-09-21,WEST,C,C,B,100,Park Road Secondary,1
15297,MORGAN BONE,2006-09-15,WEST,A,B,C,120,Park Road Secondary,1
15298,CARIN O'BRADAIN,2007-05-02,WEST,C,A,B,120,Park Road Secondary,1
15299,SONNY RAMSBOTTOM,2007-02-20,WEST,C,C,A,110,Park Road Secondary,1
15300,ANETT GURNELL,2007-10-02,WEST,C,D,B,90,St. Mary's,2
15301,FRANCYNE HAFFENDEN,2006-02-10,WEST,C,B,B,110,St. Mary's,2
15302,BRANDISE LUBMAN,2006-10-17,WEST,B,D,B,100,St. Mary's,2
15303,EDIK PLINCK,2006-11-27,WEST,B,A,B,130,St. Mary's,2
15304,DELL BRANDTS,2007-07-16,WEST,A,C,C,110,St. Mary's,2
15305,ULRICA BROTHERHEAD,2007-07-06,WEST,C,C,B,100,St. Mary's,2
15306,GIORGIA NOOT,2007-04-07,WEST,C,C,A,110,St. Mary's,2
15307,TERRANCE MUNDELL,2007-04-28,WEST,A,D,B,110,St. Mary's,2
15308,SWEN MILLWALL,2006-09-27,WEST,D,A,C,100,St. Mary's,2
15309,CORBIN SANTORA,2007-01-15,WEST,A,C,D,100,St. Mary's,2
15310,SUMNER COUGHTREY,2007-06-14,WEST,A,A,A,150,St. Mary's,2
